%time,field.header.seq,field.header.stamp,field.header.frame_id,field.bumper,field.cliff,field.sonar,field.illumination,field.led,field.button,field.torque,field.left_encoder,field.right_encoder,field.battery
1587292502779340649,27892,1587292502781643995,,2,136.0,0.0,421.0,0,0,1,6325,4261,11.9799995422
1587292502817257628,27893,1587292502814643995,,2,138.0,0.0,478.0,0,0,1,6325,4261,11.9799995422
1587292502839677576,27894,1587292502850643995,,2,117.0,0.0,423.0,0,0,1,6326,4261,11.9799995422
1587292502882423514,27895,1587292502883643995,,2,117.0,0.0,414.0,0,0,1,6325,4261,11.970000267
1587292502928883878,27896,1587292502918643995,,2,136.0,0.0,480.0,0,0,1,6325,4261,11.9799995422
1587292502949204191,27897,1587292502953643995,,2,117.0,0.0,445.0,0,0,1,6325,4261,12.0
1587292502989097524,27898,1587292502978076112,,2,137.0,0.0,434.0,0,0,1,6325,4261,11.9799995422
1587292503028034920,27899,1587292503011076112,,2,135.0,0.0,408.0,0,0,1,6325,4261,11.9799995422
1587292503048701691,27900,1587292503045076112,,2,117.0,0.0,404.0,0,0,1,6325,4261,11.9799995422
1587292503091755545,27901,1587292503078076112,,2,136.0,0.0,467.0,0,0,1,6325,4261,12.0
1587292503113514816,27902,1587292503113076112,,2,137.0,0.0,434.0,0,0,1,6325,4261,11.9799995422
1587292503156291639,27903,1587292503146076112,,2,117.0,0.0,478.0,0,0,1,6325,4261,11.9799995422
1587292503184322472,27904,1587292503180076112,,2,135.0,0.0,425.0,0,0,1,6325,4261,11.970000267
1587292503225494295,27905,1587292503215076112,,2,135.0,0.0,394.0,0,0,1,6325,4261,11.970000267
1587292503260396534,27906,1587292503248076112,,2,138.0,0.0,380.0,0,0,1,6326,4261,11.970000267
1587292503288875076,27907,1587292503283076112,,2,116.0,0.0,382.0,0,0,1,6325,4261,11.9799995422
1587292503329181170,27908,1587292503316076112,,2,136.0,0.0,381.0,0,0,1,6325,4261,11.9799995422
1587292503377164659,27909,1587292503351076112,,2,116.0,0.0,401.0,0,0,1,6325,4261,11.9799995422
1587292503390012941,27910,1587292503385076112,,2,116.0,0.0,382.0,0,0,1,6325,4261,11.9799995422
1587292503432529295,27911,1587292503418076112,,2,135.0,0.0,464.0,0,0,1,6325,4261,11.9799995422
1587292503471809972,27912,1587292503467076112,,2,137.0,0.0,428.0,0,0,1,6325,4261,11.9799995422
1587292503518036378,27913,1587292503500076112,,2,137.0,0.0,419.0,0,0,1,6325,4261,11.9499998093
1587292503535392316,27914,1587292503535076112,,2,136.0,0.0,393.0,0,0,1,6325,4261,11.970000267
1587292503576264295,27915,1587292503568076112,,2,136.0,0.0,471.0,0,0,1,6325,4261,11.970000267
1587292503618119243,27916,1587292503601076112,,2,116.0,0.0,416.0,0,0,1,6325,4261,11.970000267
1587292503641739763,27917,1587292503636076112,,2,135.0,0.0,494.0,0,0,1,6325,4261,11.9799995422
1587292503679759190,27918,1587292503668076112,,2,137.0,0.0,419.0,0,0,1,6325,4261,11.9799995422
1587292503723800232,27919,1587292503701076112,,2,117.0,0.0,415.0,0,0,1,6325,4261,11.9799995422
1587292503745932732,27920,1587292503735076112,,2,81.0,0.0,418.0,0,0,1,6325,4261,11.970000267
1587292503787269607,27921,1587292503770076112,,2,135.0,0.0,390.0,0,0,1,6325,4261,11.9799995422
1587292503805172680,27922,1587292503805076112,,2,136.0,0.0,400.0,0,0,1,6325,4261,11.9799995422
1587292503846506274,27923,1587292503838076112,,2,137.0,0.0,387.0,0,0,1,6325,4261,11.9799995422
1587292503892100805,27924,1587292503873076112,,2,135.0,0.0,402.0,0,0,1,6325,4261,11.9799995422
1587292503905775597,27925,1587292503906076112,,2,116.0,0.0,480.0,0,0,1,6325,4261,11.9799995422
1587292503949959659,27926,1587292503939076112,,2,81.0,0.0,434.0,0,0,1,6325,4261,11.9799995422
1587292503994577836,27927,1587292503974076112,,2,117.0,0.0,494.0,0,0,1,6325,4261,11.9799995422
1587292504007467472,27928,1587292504008076112,,2,81.0,0.0,449.0,0,0,1,6328,4261,11.9799995422
1587292504054278045,27929,1587292504041076112,,2,137.0,0.0,409.0,0,0,1,6341,4261,11.970000267
1587292504095367680,27930,1587292504076076112,,2,141.0,0.0,417.0,0,0,1,6361,4272,11.970000267
1587292504112043565,27931,1587292504111076112,,2,136.0,0.0,393.0,0,0,1,6388,4295,11.970000267
1587292504154986430,27932,1587292504144076112,,2,117.0,0.0,470.0,0,0,1,6417,4320,11.9799995422
1587292504200726690,27933,1587292504179076112,,2,118.0,0.0,444.0,0,0,1,6451,4349,11.9799995422
1587292504219246794,27934,1587292504214076112,,2,80.0,0.0,431.0,0,0,1,6485,4380,11.9799995422
1587292504259822680,27935,1587292504246076112,,2,117.0,0.0,486.0,0,0,1,6516,4410,11.970000267
1587292504300376690,27936,1587292504288076112,,2,81.0,0.0,429.0,0,0,1,6556,4451,11.970000267
1587292504343322992,27937,1587292504321076112,,2,135.0,0.0,401.0,0,0,1,6589,4484,11.970000267
1587292504361728513,27938,1587292504355076112,,2,137.0,0.0,390.0,0,0,1,6624,4519,11.970000267
1587292504400729503,27939,1587292504388076112,,2,136.0,0.0,378.0,0,0,1,6656,4552,11.970000267
1587292504424179138,27940,1587292504423076112,,2,130.0,0.0,404.0,0,0,1,6690,4587,11.9799995422
1587292504466106169,27941,1587292504456076112,,2,117.0,0.0,469.0,0,0,1,6722,4620,11.9799995422
1587292504511338826,27942,1587292504491076112,,2,80.0,0.0,421.0,0,0,1,6756,4656,11.970000267
1587292504530234034,27943,1587292504526076112,,2,135.0,0.0,398.0,0,0,1,6789,4689,11.9799995422
1587292504572666586,27944,1587292504561076112,,2,142.0,0.0,378.0,0,0,1,6825,4724,11.970000267
1587292504608251742,27945,1587292504594076112,,2,117.0,0.0,462.0,0,0,1,6858,4758,11.9300003052
1587292504642088826,27946,1587292504629076112,,2,118.0,0.0,413.0,0,0,1,6894,4793,11.970000267
1587292504682351690,27947,1587292504664076112,,2,167.0,0.0,396.0,0,0,1,6928,4829,11.970000267
1587292504720362315,27948,1587292504697076112,,2,117.0,0.0,474.0,0,0,1,6960,4863,11.9799995422
1587292504737829763,27949,1587292504730076112,,2,136.0,0.0,510.0,0,0,1,6993,4897,11.9799995422
1587292504781532992,27950,1587292504763076112,,2,136.0,0.0,532.0,0,0,1,7023,4928,11.970000267
1587292504798764294,27951,1587292504799076112,,2,117.0,0.0,471.0,0,0,1,7058,4963,11.970000267
1587292504840491794,27952,1587292504832076112,,2,117.0,0.0,446.0,0,0,1,7090,4996,11.970000267
1587292504887357992,27953,1587292504867076112,,2,119.0,0.0,414.0,0,0,1,7125,5033,11.970000267
1587292504907175648,27954,1587292504901076112,,2,80.0,0.0,419.0,0,0,1,7160,5065,11.970000267
1587292504950058357,27955,1587292504934076112,,2,136.0,0.0,413.0,0,0,1,7192,5099,11.970000267
1587292504988900752,27956,1587292504974076112,,2,117.0,0.0,429.0,0,0,1,7230,5140,11.9799995422
1587292505028803096,27957,1587292505007076112,,2,82.0,0.0,399.0,0,0,1,7262,5173,11.970000267
1587292505055902680,27958,1587292505041076112,,2,136.0,0.0,395.0,0,0,1,7297,5206,11.970000267
1587292505095517732,27959,1587292505076076112,,2,81.0,0.0,459.0,0,0,1,7334,5242,11.9499998093
1587292505112962888,27960,1587292505113076112,,2,135.0,0.0,408.0,0,0,1,7370,5278,11.970000267
1587292505156440909,27961,1587292505146076112,,2,80.0,0.0,392.0,0,0,1,7402,5312,11.970000267
1587292505202631117,27962,1587292505181076112,,2,116.0,0.0,378.0,0,0,1,7439,5349,11.9799995422
1587292505220464086,27963,1587292505214076112,,2,117.0,0.0,374.0,0,0,1,7473,5382,11.9499998093
1587292505266148982,27964,1587292505249076112,,2,117.0,0.0,377.0,0,0,1,7506,5418,11.9799995422
1587292505302733669,27965,1587292505282076112,,2,81.0,0.0,465.0,0,0,1,7539,5451,11.970000267
1587292505327527784,27966,1587292505320076112,,2,135.0,0.0,409.0,0,0,1,7577,5487,11.970000267
1587292505371185440,27967,1587292505353076112,,2,136.0,0.0,419.0,0,0,1,7610,5518,11.970000267
1587292505393439086,27968,1587292505393076112,,2,81.0,0.0,490.0,0,0,1,7651,5558,11.970000267
1587292505432937523,27969,1587292505426076112,,2,136.0,0.0,433.0,0,0,1,7683,5591,11.970000267
1587292505477115179,27970,1587292505459076112,,2,81.0,0.0,419.0,0,0,1,7715,5626,11.970000267
1587292505499515544,27971,1587292505494076112,,2,123.0,0.0,422.0,0,0,1,7751,5659,11.970000267
1587292505542612731,27972,1587292505546363937,,2,136.0,0.0,414.0,0,0,1,7786,5694,11.970000267
1587292505579123565,27973,1587292505579363937,,2,136.0,0.0,393.0,0,0,1,7818,5725,11.970000267
1587292505602837106,27974,1587292505620363937,,2,116.0,0.0,389.0,0,0,1,7857,5767,11.970000267
1587292505641841950,27975,1587292505653363937,,2,116.0,0.0,463.0,0,0,1,7892,5799,11.970000267
1587292505684743304,27976,1587292505686363937,,2,136.0,0.0,422.0,0,0,1,7924,5833,11.970000267
1587292505702140908,27977,1587292505719363937,,2,140.0,0.0,382.0,0,0,1,7956,5866,11.9499998093
1587292505746779502,27978,1587292505752363937,,2,81.0,0.0,373.0,0,0,1,7988,5900,11.970000267
1587292505788348408,27979,1587292505785363937,,2,137.0,0.0,459.0,0,0,1,8022,5931,11.970000267
1587292505808010752,27980,1587292505823363937,,2,80.0,0.0,437.0,0,0,1,8058,5968,11.970000267
1587292505849862471,27981,1587292505856363937,,2,136.0,0.0,494.0,0,0,1,8090,6000,11.970000267
1587292505895539450,27982,1587292505889363937,,2,128.0,0.0,451.0,0,0,1,8124,6033,11.970000267
1587292505913092992,27983,1587292505925363937,,2,81.0,0.0,448.0,0,0,1,8160,6067,11.970000267
1587292505954367992,27984,1587292505958363937,,2,117.0,0.0,480.0,0,0,1,8193,6100,11.9799995422
1587292505996480440,27985,1587292505999363937,,2,135.0,0.0,425.0,0,0,1,8233,6141,11.9499998093
1587292506042005388,27986,1587292506032363937,,2,116.0,0.0,486.0,0,0,1,8267,6175,11.970000267
1587292506060066221,27987,1587292506069363937,,2,134.0,0.0,426.0,0,0,1,8302,6212,11.970000267
1587292506105537887,27988,1587292506102363937,,2,81.0,0.0,420.0,0,0,1,8334,6241,11.970000267
1587292506127888877,27989,1587292506145363937,,2,80.0,0.0,404.0,0,0,1,8379,6285,11.970000267
1587292506173081585,27990,1587292506178363937,,2,137.0,0.0,472.0,0,0,1,8413,6319,11.9799995422
1587292506213454085,27991,1587292506211363937,,2,117.0,0.0,451.0,0,0,1,8448,6351,11.970000267
1587292506233315127,27992,1587292506248363937,,2,117.0,0.0,417.0,0,0,1,8484,6387,11.970000267
1587292506276961012,27993,1587292506281363937,,2,136.0,0.0,384.0,0,0,1,8516,6418,11.9499998093
1587292506318625908,27994,1587292506314363937,,2,81.0,0.0,369.0,0,0,1,8548,6451,11.970000267
1587292506337057575,27995,1587292506349363937,,2,137.0,0.0,370.0,0,0,1,8585,6484,11.970000267
1587292506381335908,27996,1587292506382363937,,2,80.0,0.0,368.0,0,0,1,8616,6515,11.9799995422
